,X1,X2,corr,highest_corr,highest_k
0,1,2,,,['k =0']
1,1,3,,,['k =0']
2,1,4,,,['k =0']
3,1,5,,,['k =0']
4,1,6,,,['k =0']
5,1,7,,,['k =0']
6,1,8,,,['k =0']
7,1,9,,,['k =0']
8,1,10,,,['k =0']
9,1,11,,,['k =0']
10,1,12,,,['k =0']
11,1,13,,,['k =0']
12,1,14,,,['k =0']
13,1,15,,,['k =0']
14,1,16,,,['k =0']
15,1,17,,,['k =0']
16,1,18,,,['k =0']
17,1,19,,,['k =0']
18,1,20,,,['k =0']
19,1,21,,,['k =0']
20,1,22,,,['k =0']
21,1,23,,,['k =0']
22,1,24,,,['k =0']
23,1,25,,,['k =0']
24,1,26,,,['k =0']
25,1,27,,,['k =0']
26,1,28,,,['k =0']
27,1,29,,,['k =0']
28,1,30,,,['k =0']
29,1,31,,,['k =0']
30,1,32,,,['k =0']
31,1,33,,,['k =0']
32,1,34,,,['k =0']
33,1,35,,,['k =0']
34,1,36,,,['k =0']
35,1,37,,,['k =0']
36,1,38,,,['k =0']
37,1,39,,,['k =0']
38,1,40,,,['k =0']
39,1,41,,,['k =0']
40,1,42,,,['k =0']
41,1,43,,,['k =0']
42,1,44,,,['k =0']
43,1,45,,,['k =0']
44,1,46,,,['k =0']
45,1,47,,,['k =0']
46,1,48,,,['k =0']
47,1,49,,,['k =0']
48,1,50,,,['k =0']
49,1,51,,,['k =0']
50,1,52,,,['k =0']
51,1,53,,,['k =0']
52,1,54,,,['k =0']
53,1,55,,,['k =0']
54,2,3,,,['k =0']
55,2,4,,,['k =0']
56,2,5,,,['k =0']
57,2,6,,,['k =0']
58,2,7,,,['k =0']
59,2,8,,,['k =0']
60,2,9,,,['k =0']
61,2,10,,,['k =0']
62,2,11,,,['k =0']
63,2,12,,,['k =0']
64,2,13,,,['k =0']
65,2,14,,,['k =0']
66,2,15,,,['k =0']
67,2,16,,,['k =0']
68,2,17,,,['k =0']
69,2,18,,,['k =0']
70,2,19,,,['k =0']
71,2,20,,,['k =0']
72,2,21,,,['k =0']
73,2,22,,,['k =0']
74,2,23,,,['k =0']
75,2,24,,,['k =0']
76,2,25,,,['k =0']
77,2,26,,,['k =0']
78,2,27,,,['k =0']
79,2,28,,,['k =0']
80,2,29,,,['k =0']
81,2,30,,,['k =0']
82,2,31,,,['k =0']
83,2,32,,,['k =0']
84,2,33,,,['k =0']
85,2,34,,,['k =0']
86,2,35,,,['k =0']
87,2,36,,,['k =0']
88,2,37,,,['k =0']
89,2,38,,,['k =0']
90,2,39,,,['k =0']
91,2,40,,,['k =0']
92,2,41,,,['k =0']
93,2,42,,,['k =0']
94,2,43,,,['k =0']
95,2,44,,,['k =0']
96,2,45,,,['k =0']
97,2,46,,,['k =0']
98,2,47,,,['k =0']
99,2,48,,,['k =0']
100,2,49,,,['k =0']
101,2,50,,,['k =0']
102,2,51,,,['k =0']
103,2,52,,,['k =0']
104,2,53,,,['k =0']
105,2,54,,,['k =0']
106,2,55,,,['k =0']
107,3,4,,,['k =0']
108,3,5,,,['k =0']
109,3,6,,,['k =0']
110,3,7,,,['k =0']
111,3,8,,,['k =0']
112,3,9,,,['k =0']
113,3,10,,,['k =0']
114,3,11,,,['k =0']
115,3,12,,,['k =0']
116,3,13,,,['k =0']
117,3,14,,,['k =0']
118,3,15,,,['k =0']
119,3,16,,,['k =0']
120,3,17,,,['k =0']
121,3,18,,,['k =0']
122,3,19,,,['k =0']
123,3,20,,,['k =0']
124,3,21,,,['k =0']
125,3,22,,,['k =0']
126,3,23,,,['k =0']
127,3,24,,,['k =0']
128,3,25,,,['k =0']
129,3,26,,,['k =0']
130,3,27,,,['k =0']
131,3,28,,,['k =0']
132,3,29,,,['k =0']
133,3,30,,,['k =0']
134,3,31,,,['k =0']
135,3,32,,,['k =0']
136,3,33,,,['k =0']
137,3,34,,,['k =0']
138,3,35,,,['k =0']
139,3,36,,,['k =0']
140,3,37,,,['k =0']
141,3,38,,,['k =0']
142,3,39,,,['k =0']
143,3,40,,,['k =0']
144,3,41,,,['k =0']
145,3,42,,,['k =0']
146,3,43,,,['k =0']
147,3,44,,,['k =0']
148,3,45,,,['k =0']
149,3,46,,,['k =0']
150,3,47,,,['k =0']
151,3,48,,,['k =0']
152,3,49,,,['k =0']
153,3,50,,,['k =0']
154,3,51,,,['k =0']
155,3,52,,,['k =0']
156,3,53,,,['k =0']
157,3,54,,,['k =0']
158,3,55,,,['k =0']
159,4,5,,,['k =0']
160,4,6,,,['k =0']
161,4,7,,,['k =0']
162,4,8,,,['k =0']
163,4,9,,,['k =0']
164,4,10,,,['k =0']
165,4,11,,,['k =0']
